[train] device=cpu
[train] model params: 35.59M (preset=small)
[train] starting; ctx=512, batch=2, steps=12000, mode=chat
[data:chat] using SlimOrca (Open-Orca/SlimOrca)
step    10 | loss 8.2475 | lm 10.9058 | ppl 54492.1 | lr 1.35e-05 | 278 tok/s | mesoLG 0.59 | NT[DA=0.82 NE=0.68 5HT=0.97 ACh=0.80 eCB=0.12 Glu=0.66 GABA=0.51]
step    20 | loss 8.1186 | lm 10.7807 | ppl 48082.2 | lr 2.85e-05 | 444 tok/s | mesoLG 0.59 | NT[DA=0.82 NE=0.69 5HT=0.97 ACh=0.80 eCB=0.13 Glu=0.62 GABA=0.56]
step    30 | loss 7.8779 | lm 10.5389 | ppl 37757.4 | lr 4.35e-05 | 437 tok/s | mesoLG 0.59 | NT[DA=0.82 NE=0.69 5HT=0.97 ACh=0.80 eCB=0.15 Glu=0.61 GABA=0.56]
step    40 | loss 7.5770 | lm 10.2195 | ppl 27434.2 | lr 5.85e-05 | 470 tok/s | mesoLG 0.58 | NT[DA=0.82 NE=0.69 5HT=0.96 ACh=0.80 eCB=0.17 Glu=0.61 GABA=0.56]
step    50 | loss 7.2601 | lm 9.8303 | ppl 18589.1 | lr 7.35e-05 | 503 tok/s | mesoLG 0.58 | NT[DA=0.82 NE=0.69 5HT=0.96 ACh=0.80 eCB=0.20 Glu=0.62 GABA=0.56]
step    60 | loss 6.7422 | lm 9.1433 | ppl 9351.9 | lr 8.85e-05 | 538 tok/s | mesoLG 0.58 | NT[DA=0.82 NE=0.69 5HT=0.96 ACh=0.80 eCB=0.24 Glu=0.64 GABA=0.56]
step    70 | loss 6.2576 | lm 8.4952 | ppl 4891.4 | lr 1.03e-04 | 538 tok/s | mesoLG 0.58 | NT[DA=0.81 NE=0.69 5HT=0.96 ACh=0.79 eCB=0.24 Glu=0.61 GABA=0.63]
step    80 | loss 6.0250 | lm 8.1911 | ppl 3608.7 | lr 1.18e-04 | 520 tok/s | mesoLG 0.58 | NT[DA=0.81 NE=0.69 5HT=0.96 ACh=0.79 eCB=0.25 Glu=0.60 GABA=0.65]
step    90 | loss 5.7161 | lm 7.7826 | ppl 2398.6 | lr 1.33e-04 | 510 tok/s | mesoLG 0.58 | NT[DA=0.81 NE=0.69 5HT=0.96 ACh=0.79 eCB=0.25 Glu=0.59 GABA=0.64]
step   100 | loss 5.6657 | lm 7.7266 | ppl 2268.0 | lr 1.48e-04 | 532 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.69 5HT=0.96 ACh=0.78 eCB=0.25 Glu=0.59 GABA=0.64]
step   110 | loss 5.7908 | lm 7.9087 | ppl 2720.9 | lr 1.63e-04 | 488 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.69 5HT=0.96 ACh=0.78 eCB=0.23 Glu=0.55 GABA=0.65]
